Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3501806;Américo de Campos;Total;Total;0;0;0;0;0;--
2019;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;0;0;0;0;0;--
2019;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;0;0;0;0;0;--
2019;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;0;0;0;0;0;--
2019;Sudeste;SP;3501806;Américo de Campos;Total;Pública;0;0;0;0;0;--
2019;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;0;0;0;0;0;--
2019;Sudeste;SP;3501905;Amparo;Total;Total;2,1;3;1,6;1,5;--;--
2019;Sudeste;SP;3501905;Amparo;Urbana;Total;2,2;3,2;1,7;1,4;--;--
2019;Sudeste;SP;3501905;Amparo;Rural;Total;1,6;0;0;5,7;--;--
2019;Sudeste;SP;3501905;Amparo;Total;Estadual;2,6;3,6;2;1,9;--;--
2019;Sudeste;SP;3501905;Amparo;Urbana;Estadual;2,7;3,9;2,1;1,7;--;--
2019;Sudeste;SP;3501905;Amparo;Rural;Estadual;1,6;0;0;5,7;--;--
2019;Sudeste;SP;3501905;Amparo;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501905;Amparo;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501905;Amparo;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501905;Amparo;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501905;Amparo;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501905;Amparo;Total;Pública;2,6;3,6;2;1,9;--;--
2019;Sudeste;SP;3501905;Amparo;Urbana;Pública;2,7;3,9;2,1;1,7;--;--
2019;Sudeste;SP;3501905;Amparo;Rural;Pública;1,6;0;0;5,7;--;--
2019;Sudeste;SP;3502002;Analândia;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502002;Analândia;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502002;Analândia;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502002;Analândia;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502002;Analândia;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502002;Analândia;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502002;Analândia;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502002;Analândia;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502101;Andradina;Total;Total;0,7;1;0,9;0;--;--
2019;Sudeste;SP;3502101;Andradina;Urbana;Total;0,7;1,2;1;0;--;--
2019;Sudeste;SP;3502101;Andradina;Rural;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502101;Andradina;Total;Estadual;0,8;1,3;1,3;0;--;--
2019;Sudeste;SP;3502101;Andradina;Urbana;Estadual;1;1,5;1,5;0;--;--
2019;Sudeste;SP;3502101;Andradina;Rural;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502101;Andradina;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502101;Andradina;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502101;Andradina;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502101;Andradina;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502101;Andradina;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502101;Andradina;Total;Pública;0,8;1,3;1,3;0;--;--
2019;Sudeste;SP;3502101;Andradina;Urbana;Pública;1;1,5;1,5;0;--;--
2019;Sudeste;SP;3502101;Andradina;Rural;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502200;Angatuba;Total;Total;1,7;2,2;1,2;1,3;--;--
2019;Sudeste;SP;3502200;Angatuba;Urbana;Total;1,7;2,2;1,2;1,3;--;--
2019;Sudeste;SP;3502200;Angatuba;Rural;Total;--;--;--;--;--;--
2019;Sudeste;SP;3502200;Angatuba;Total;Estadual;1,7;2,2;1,3;1,4;--;--
2019;Sudeste;SP;3502200;Angatuba;Urbana;Estadual;1,7;2,2;1,3;1,4;--;--
2019;Sudeste;SP;3502200;Angatuba;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502200;Angatuba;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502200;Angatuba;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502200;Angatuba;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502200;Angatuba;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502200;Angatuba;Total;Pública;1,7;2,2;1,3;1,4;--;--
2019;Sudeste;SP;3502200;Angatuba;Urbana;Pública;1,7;2,2;1,3;1,4;--;--
2019;Sudeste;SP;3502200;Angatuba;Rural;Pública;--;--;--;--;--;--
2019;Sudeste;SP;3502309;Anhembi;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502309;Anhembi;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502309;Anhembi;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502309;Anhembi;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502309;Anhembi;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502309;Anhembi;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502309;Anhembi;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502309;Anhembi;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Total;Total;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Urbana;Total;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Total;Estadual;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Urbana;Estadual;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502408;Anhumas;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502408;Anhumas;Total;Pública;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502408;Anhumas;Urbana;Pública;2,9;0;7,4;0;--;--
2019;Sudeste;SP;3502507;Aparecida;Total;Total;1,5;2,2;0,8;1,7;--;--
2019;Sudeste;SP;3502507;Aparecida;Urbana;Total;1,5;2,2;0,8;1,7;--;--
2019;Sudeste;SP;3502507;Aparecida;Total;Estadual;1,6;2,3;0,8;1,7;--;--
2019;Sudeste;SP;3502507;Aparecida;Urbana;Estadual;1,6;2,3;0,8;1,7;--;--
2019;Sudeste;SP;3502507;Aparecida;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502507;Aparecida;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502507;Aparecida;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502507;Aparecida;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3502507;Aparecida;Total;Pública;1,6;2,3;0,8;1,7;--;--
