Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3501608;Americana;35045500;CLARICE COSTA CONTI PROFA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35045962;POLIVALENTE DE AMERICANA ETEC;Urbana;Estadual;0,1;0,0;0,0;0,3;--;--
2019;Sudeste;SP;3501608;Americana;35047004;HYLDA PARDO DE OLIVEIRA PROFA;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35049897;BENTO PENTEADO DOS SANTOS PROF;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35058579;PHILOMENA MAGALY MAKLUF ROSSETTI PROFESSORA CIEP;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35058592;OCTAVIO CESAR BORGHI PROFESSOR CIEP;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35058609;ONIVA DE MOURA BRIZOLA PROFESSORA CIEP;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35058610;ANISIO SPINOLA TEIXEIRA PROFESSOR CIEP;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35112094;DOM BOSCO COLEGIO SALESIANO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35112124;DOM PEDRO II COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35112215;SESI 101 CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35125040;SESI 422 CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35125647;INDEPENDENTE DE AMERICANA CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35125659;AMERICANA INSTITUTO EDUCACIONAL DE;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35132007;ANTARES COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35140600;POLITEC COLEGIO;Urbana;Privada;0,5;0,7;0,8;0,0;0,0;--
2019;Sudeste;SP;3501608;Americana;35144502;ANGLO AMERICANA COLEGIO;Urbana;Privada;0,7;0,0;0,0;1,9;--;--
2019;Sudeste;SP;3501608;Americana;35166686;ADVENTISTA DE AMERICANA ESCOLA;Urbana;Privada;0,0;0,0;0,0;--;--;--
2019;Sudeste;SP;3501608;Americana;35174282;MORAES COLEGIO;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35174294;AMERICANA COLEGIO;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35222012;SYLVINO CHINELATTO CAIC PROFESSOR;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35222021;DARCY RIBEIRO EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35228060;PAULO FREIRE EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35245951;FLORESTAN FERNANDES PROFESSOR EMEF;Urbana;Municipal;--;--;--;--;--;--
